Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
71110000,"Base metals/silver/gold, clad with platinum, semi-manufactured",3708,Gram,0,?,"5,228"
71123010,"Ash of silver, excl sweepings containg oth precious metal",15000,Gram,0,?,"1,720"
71129110,Other waste/scrap containg gold/gold compounds for recovery of gold,268,Gram,0,?,"7,209"
71129120,"Waste/scrap with gold or gold compounds, nes",17839869,Gram,0,?,"299,062"
71129210,"Waste/scrap of platinum, excl sweepings containg oth precious mtl",1995,Gram,0,?,"35,099"
71129220,Other waste/scrap containg platinum/compound for recovery of platinum,870675098,Gram,0,?,"124,427,358"
71129910,Waste/scrap with silver or silver compounds,29605777,Gram,0,?,"595,661"
71129920,Waste/scrap with other precious moutals,1035665110,Gram,0,?,"3,555,132"
71129990,Waste/scrap of precious metal metal or of metal clad with precious metal,479414291,Gram,0,?,"24,274,783"
71131110,"Jewellery & parts thereof of silver, plated with diamond mounted or set",12637397,Gram,0,?,"113,051,933"
71131190,"Jewellery & parts thereof, of silver, nes",645223958,Gram,0,?,"594,069,689"
71131911,"Jewellery & parts thereof of gold, plated with diamond mounted",19239090,Gram,0,?,"3,711,256,622"
71131919,"Jewellery & parts thereof of gold, nes",53655281,Gram,0,?,"2,731,889,482"
